Unique ID,Case name,Bus name,Bus voltage [kV],Run#,Tswitch_a [s],Tswitch_b [s],Tswitch_c [s],Fault_type,Fault_time [s],LGp [kV],LGr [kV],LLp [kV],LLr [kV],LGrm [kV],LLrm [kV],LLs [kV],LLe [kV],LGp [pu],LGr [pu],LLp [pu],LLr [pu],LGrm [pu],LLrm [pu],LLs [pu],LLe [pu],TOV_dur [s]
C29_S1_N2_F_MM_230_ONT3_17,C29_S1_N2_F,MM_230_ONT3,230,17.0,2.116,2.116,2.116,None,102.116,189.5,133.9,328.0,232.0,121.5,210.1,230.8,227.5,1.009,1.008,1.008,1.009,0.915,0.913,1.003,0.989,0.0
C29_S1_N2_F_MM_230_ONT3_18,C29_S1_N2_F,MM_230_ONT3,230,18.0,2.117,2.117,2.117,None,102.117,189.7,133.6,327.5,232.1,120.9,207.6,230.8,227.1,1.01,1.006,1.007,1.009,0.91,0.903,1.003,0.987,0.0
C29_S1_N2_F_MM_230_ONT3_19,C29_S1_N2_F,MM_230_ONT3,230,19.0,2.118,2.118,2.118,None,102.118,189.6,133.3,326.5,232.1,119.9,206.3,230.8,226.9,1.01,1.004,1.004,1.009,0.903,0.897,1.003,0.987,0.0
C29_S1_N2_F_MM_230_ONT3_20,C29_S1_N2_F,MM_230_ONT3,230,20.0,2.119,2.119,2.119,None,102.119,189.2,133.6,326.5,232.3,119.3,206.7,230.8,226.6,1.007,1.006,1.004,1.01,0.898,0.899,1.003,0.985,0.0
C29_S1_N2_F_MM_230_ONT4_1,C29_S1_N2_F,MM_230_ONT4,230,1.0,2.1,2.1,2.1,None,102.1,196.0,133.3,340.5,230.8,98.4,180.1,230.8,219.7,1.044,1.004,1.047,1.003,0.741,0.783,1.003,0.955,0.0
C29_S1_N2_F_MM_230_ONT4_2,C29_S1_N2_F,MM_230_ONT4,230,2.0,2.101,2.101,2.101,None,102.101,194.7,133.3,340.8,230.8,99.2,175.6,230.8,220.0,1.037,1.004,1.048,1.003,0.747,0.763,1.003,0.957,0.0
C29_S1_N2_F_MM_230_ONT4_3,C29_S1_N2_F,MM_230_ONT4,230,3.0,2.102,2.102,2.102,None,102.102,193.9,133.3,346.1,230.8,102.1,175.0,230.8,220.8,1.033,1.004,1.064,1.003,0.769,0.761,1.003,0.96,0.0
C29_S1_N2_F_MM_230_ONT4_4,C29_S1_N2_F,MM_230_ONT4,230,4.0,2.103,2.103,2.103,None,102.103,194.3,133.3,347.1,230.8,105.5,177.9,230.8,221.4,1.035,1.004,1.067,1.003,0.794,0.773,1.003,0.963,0.0
C29_S1_N2_F_MM_230_ONT4_5,C29_S1_N2_F,MM_230_ONT4,230,5.0,2.104,2.104,2.104,None,102.104,194.9,133.7,343.9,230.8,106.1,184.6,230.8,222.2,1.038,1.007,1.057,1.003,0.799,0.803,1.003,0.966,0.0
C29_S1_N2_F_MM_230_ONT4_6,C29_S1_N2_F,MM_230_ONT4,230,6.0,2.105,2.105,2.105,None,102.105,200.7,134.0,332.6,231.0,109.1,194.3,230.8,223.1,1.069,1.009,1.023,1.004,0.822,0.845,1.003,0.97,0.0
C29_S1_N2_F_MM_230_ONT4_7,C29_S1_N2_F,MM_230_ONT4,230,7.0,2.106,2.106,2.106,None,102.106,196.1,133.8,333.1,232.2,114.1,202.6,230.8,224.4,1.044,1.008,1.024,1.01,0.859,0.881,1.003,0.976,0.0
C29_S1_N2_F_MM_230_ONT4_8,C29_S1_N2_F,MM_230_ONT4,230,8.0,2.107,2.107,2.107,None,102.107,195.9,133.3,338.0,231.1,120.7,209.1,230.8,226.3,1.043,1.004,1.039,1.005,0.909,0.909,1.003,0.984,0.0
C29_S1_N2_F_MM_230_ONT4_9,C29_S1_N2_F,MM_230_ONT4,230,9.0,2.108,2.108,2.108,None,102.108,197.5,133.3,333.2,230.8,127.0,218.2,230.8,227.9,1.052,1.004,1.024,1.003,0.956,0.949,1.003,0.991,0.0
C29_S1_N2_F_MM_230_ONT4_10,C29_S1_N2_F,MM_230_ONT4,230,10.0,2.109,2.109,2.109,None,102.109,196.6,133.3,327.3,230.8,130.8,227.3,230.8,229.8,1.047,1.004,1.006,1.003,0.985,0.988,1.003,0.999,0.0
C29_S1_N2_F_MM_230_ONT4_11,C29_S1_N2_F,MM_230_ONT4,230,11.0,2.11,2.11,2.11,None,102.11,191.2,133.3,326.8,231.1,132.7,230.1,230.8,230.5,1.018,1.004,1.005,1.005,0.999,1.0,1.003,1.002,0.0
C29_S1_N2_F_MM_230_ONT4_12,C29_S1_N2_F,MM_230_ONT4,230,12.0,2.111,2.111,2.111,None,102.111,196.4,133.3,327.0,230.9,131.0,227.6,230.8,229.8,1.046,1.004,1.005,1.004,0.987,0.99,1.003,0.999,0.0
C29_S1_N2_F_MM_230_ONT4_13,C29_S1_N2_F,MM_230_ONT4,230,13.0,2.112,2.112,2.112,None,102.112,197.5,133.3,331.4,230.8,127.3,218.7,230.8,228.0,1.052,1.004,1.019,1.003,0.959,0.951,1.003,0.991,0.0
C29_S1_N2_F_MM_230_ONT4_14,C29_S1_N2_F,MM_230_ONT4,230,14.0,2.113,2.113,2.113,None,102.113,197.6,133.3,343.4,230.8,120.9,209.9,230.8,226.3,1.052,1.004,1.056,1.003,0.91,0.913,1.003,0.984,0.0
C29_S1_N2_F_MM_230_ONT4_15,C29_S1_N2_F,MM_230_ONT4,230,15.0,2.114,2.114,2.114,None,102.114,198.9,133.3,327.3,230.8,114.5,203.8,230.8,224.4,1.059,1.004,1.006,1.003,0.862,0.886,1.003,0.976,0.0
C29_S1_N2_F_MM_230_ONT4_16,C29_S1_N2_F,MM_230_ONT4,230,16.0,2.115,2.115,2.115,None,102.115,196.0,133.3,342.5,230.8,109.8,194.2,230.8,223.0,1.044,1.004,1.053,1.003,0.827,0.844,1.003,0.97,0.0
C29_S1_N2_F_MM_230_ONT4_17,C29_S1_N2_F,MM_230_ONT4,230,17.0,2.116,2.116,2.116,None,102.116,194.9,133.3,346.5,230.8,106.8,184.7,230.8,222.1,1.038,1.004,1.065,1.003,0.804,0.803,1.003,0.966,0.0
C29_S1_N2_F_MM_230_ONT4_18,C29_S1_N2_F,MM_230_ONT4,230,18.0,2.117,2.117,2.117,None,102.117,194.3,133.3,347.5,230.8,106.0,178.3,230.8,221.2,1.035,1.004,1.068,1.003,0.798,0.775,1.003,0.962,0.0
C29_S1_N2_F_MM_230_ONT4_19,C29_S1_N2_F,MM_230_ONT4,230,19.0,2.118,2.118,2.118,None,102.118,193.2,133.3,344.4,230.8,101.2,175.3,230.8,220.6,1.029,1.004,1.059,1.003,0.762,0.762,1.003,0.959,0.0
C29_S1_N2_F_MM_230_ONT4_20,C29_S1_N2_F,MM_230_ONT4,230,20.0,2.119,2.119,2.119,None,102.119,199.0,133.3,331.8,230.8,98.8,176.2,230.8,219.7,1.06,1.004,1.02,1.003,0.744,0.766,1.003,0.955,0.0
C29_S1_N2_F_MM_230_VSR1_1,C29_S1_N2_F,MM_230_VSR1,230,1.0,2.1,2.1,2.1,None,102.1,187.6,133.1,324.3,230.8,118.1,206.6,229.3,225.1,0.999,1.002,0.997,1.003,0.889,0.898,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR1_2,C29_S1_N2_F,MM_230_VSR1,230,2.0,2.101,2.101,2.101,None,102.101,187.2,133.3,324.4,230.3,118.3,205.3,229.3,225.2,0.997,1.004,0.997,1.001,0.891,0.893,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR1_3,C29_S1_N2_F,MM_230_VSR1,230,3.0,2.102,2.102,2.102,None,102.102,188.2,133.1,325.7,229.4,119.2,204.7,229.3,225.5,1.002,1.002,1.001,0.997,0.898,0.89,0.997,0.98,0.0
C29_S1_N2_F_MM_230_VSR1_4,C29_S1_N2_F,MM_230_VSR1,230,4.0,2.103,2.103,2.103,None,102.103,188.5,133.0,325.3,229.6,120.1,205.8,229.3,225.7,1.004,1.002,1.0,0.998,0.904,0.895,0.997,0.981,0.0
C29_S1_N2_F_MM_230_VSR1_5,C29_S1_N2_F,MM_230_VSR1,230,5.0,2.104,2.104,2.104,None,102.104,188.4,132.9,325.4,229.7,120.3,208.5,229.3,226.0,1.003,1.001,1.0,0.999,0.906,0.907,0.997,0.983,0.0
C29_S1_N2_F_MM_230_VSR1_6,C29_S1_N2_F,MM_230_VSR1,230,6.0,2.105,2.105,2.105,None,102.105,188.2,132.6,325.2,229.6,121.4,212.5,229.3,226.4,1.002,0.999,1.0,0.998,0.914,0.924,0.997,0.984,0.0
C29_S1_N2_F_MM_230_VSR1_7,C29_S1_N2_F,MM_230_VSR1,230,7.0,2.106,2.106,2.106,None,102.106,188.3,132.5,324.3,229.4,123.5,215.1,229.3,226.9,1.003,0.998,0.997,0.997,0.93,0.935,0.997,0.987,0.0
C29_S1_N2_F_MM_230_VSR1_8,C29_S1_N2_F,MM_230_VSR1,230,8.0,2.107,2.107,2.107,None,102.107,189.8,132.4,324.8,229.3,126.4,218.4,229.3,227.5,1.011,0.997,0.999,0.997,0.952,0.95,0.997,0.989,0.0
C29_S1_N2_F_MM_230_VSR1_9,C29_S1_N2_F,MM_230_VSR1,230,9.0,2.108,2.108,2.108,None,102.108,189.7,132.4,324.7,229.3,129.2,223.0,229.3,228.1,1.01,0.997,0.998,0.997,0.973,0.97,0.997,0.992,0.0
C29_S1_N2_F_MM_230_VSR1_10,C29_S1_N2_F,MM_230_VSR1,230,10.0,2.109,2.109,2.109,None,102.109,188.1,132.6,324.4,229.8,131.1,227.5,229.3,228.9,1.002,0.999,0.997,0.999,0.987,0.989,0.997,0.995,0.0
C29_S1_N2_F_MM_230_VSR1_11,C29_S1_N2_F,MM_230_VSR1,230,11.0,2.11,2.11,2.11,None,102.11,187.7,132.4,324.3,229.3,132.1,228.9,229.3,229.2,0.999,0.997,0.997,0.997,0.995,0.995,0.997,0.997,0.0
C29_S1_N2_F_MM_230_VSR1_12,C29_S1_N2_F,MM_230_VSR1,230,12.0,2.111,2.111,2.111,None,102.111,188.4,132.5,324.4,229.3,131.2,227.5,229.3,228.9,1.003,0.998,0.997,0.997,0.988,0.989,0.997,0.995,0.0
C29_S1_N2_F_MM_230_VSR1_13,C29_S1_N2_F,MM_230_VSR1,230,13.0,2.112,2.112,2.112,None,102.112,189.7,132.4,324.6,229.3,129.4,223.2,229.3,228.2,1.01,0.997,0.998,0.997,0.974,0.97,0.997,0.992,0.0
C29_S1_N2_F_MM_230_VSR1_14,C29_S1_N2_F,MM_230_VSR1,230,14.0,2.113,2.113,2.113,None,102.113,189.6,132.4,325.7,229.3,126.4,219.1,229.3,227.6,1.01,0.997,1.001,0.997,0.952,0.953,0.997,0.99,0.0
C29_S1_N2_F_MM_230_VSR1_15,C29_S1_N2_F,MM_230_VSR1,230,15.0,2.114,2.114,2.114,None,102.114,188.8,132.5,325.4,229.3,123.8,216.3,229.3,226.9,1.005,0.998,1.0,0.997,0.932,0.94,0.997,0.987,0.0
C29_S1_N2_F_MM_230_VSR1_16,C29_S1_N2_F,MM_230_VSR1,230,16.0,2.115,2.115,2.115,None,102.115,187.3,132.8,324.3,229.8,122.0,212.3,229.3,226.3,0.997,1.0,0.997,0.999,0.919,0.923,0.997,0.984,0.0
C29_S1_N2_F_MM_230_VSR1_17,C29_S1_N2_F,MM_230_VSR1,230,17.0,2.116,2.116,2.116,None,102.116,188.3,133.0,326.0,230.6,120.7,208.7,229.3,226.0,1.003,1.002,1.002,1.003,0.909,0.907,0.997,0.983,0.0
C29_S1_N2_F_MM_230_VSR1_18,C29_S1_N2_F,MM_230_VSR1,230,18.0,2.117,2.117,2.117,None,102.117,188.5,132.7,325.5,230.6,120.1,206.2,229.3,225.7,1.004,0.999,1.001,1.003,0.904,0.897,0.997,0.981,0.0
C29_S1_N2_F_MM_230_VSR1_19,C29_S1_N2_F,MM_230_VSR1,230,19.0,2.118,2.118,2.118,None,102.118,188.3,132.4,324.3,230.7,119.1,204.9,229.3,225.4,1.003,0.997,0.997,1.003,0.897,0.891,0.997,0.98,0.0
C29_S1_N2_F_MM_230_VSR1_20,C29_S1_N2_F,MM_230_VSR1,230,20.0,2.119,2.119,2.119,None,102.119,188.0,132.7,324.3,230.8,118.5,205.3,229.3,225.1,1.001,0.999,0.997,1.003,0.892,0.893,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR2_1,C29_S1_N2_F,MM_230_VSR2,230,1.0,2.1,2.1,2.1,None,102.1,187.6,133.1,324.3,230.8,118.1,206.6,229.3,225.1,0.999,1.002,0.997,1.003,0.889,0.898,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR2_2,C29_S1_N2_F,MM_230_VSR2,230,2.0,2.101,2.101,2.101,None,102.101,187.2,133.3,324.4,230.3,118.3,205.3,229.3,225.2,0.997,1.004,0.997,1.001,0.891,0.893,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR2_3,C29_S1_N2_F,MM_230_VSR2,230,3.0,2.102,2.102,2.102,None,102.102,188.2,133.1,325.7,229.4,119.2,204.7,229.3,225.5,1.002,1.002,1.001,0.997,0.898,0.89,0.997,0.98,0.0
C29_S1_N2_F_MM_230_VSR2_4,C29_S1_N2_F,MM_230_VSR2,230,4.0,2.103,2.103,2.103,None,102.103,188.5,133.0,325.3,229.6,120.1,205.8,229.3,225.7,1.004,1.002,1.0,0.998,0.904,0.895,0.997,0.981,0.0
C29_S1_N2_F_MM_230_VSR2_5,C29_S1_N2_F,MM_230_VSR2,230,5.0,2.104,2.104,2.104,None,102.104,188.4,132.9,325.4,229.7,120.3,208.5,229.3,226.0,1.003,1.001,1.0,0.999,0.906,0.907,0.997,0.983,0.0
C29_S1_N2_F_MM_230_VSR2_6,C29_S1_N2_F,MM_230_VSR2,230,6.0,2.105,2.105,2.105,None,102.105,188.2,132.6,325.2,229.6,121.4,212.5,229.3,226.4,1.002,0.999,1.0,0.998,0.914,0.924,0.997,0.984,0.0
C29_S1_N2_F_MM_230_VSR2_7,C29_S1_N2_F,MM_230_VSR2,230,7.0,2.106,2.106,2.106,None,102.106,188.3,132.5,324.3,229.4,123.5,215.1,229.3,226.9,1.003,0.998,0.997,0.997,0.93,0.935,0.997,0.987,0.0
C29_S1_N2_F_MM_230_VSR2_8,C29_S1_N2_F,MM_230_VSR2,230,8.0,2.107,2.107,2.107,None,102.107,189.8,132.4,324.8,229.3,126.4,218.4,229.3,227.5,1.011,0.997,0.999,0.997,0.952,0.95,0.997,0.989,0.0
C29_S1_N2_F_MM_230_VSR2_9,C29_S1_N2_F,MM_230_VSR2,230,9.0,2.108,2.108,2.108,None,102.108,189.7,132.4,324.7,229.3,129.2,223.0,229.3,228.1,1.01,0.997,0.998,0.997,0.973,0.97,0.997,0.992,0.0
C29_S1_N2_F_MM_230_VSR2_10,C29_S1_N2_F,MM_230_VSR2,230,10.0,2.109,2.109,2.109,None,102.109,188.1,132.6,324.4,229.8,131.1,227.5,229.3,228.9,1.002,0.999,0.997,0.999,0.987,0.989,0.997,0.995,0.0
C29_S1_N2_F_MM_230_VSR2_11,C29_S1_N2_F,MM_230_VSR2,230,11.0,2.11,2.11,2.11,None,102.11,187.7,132.4,324.3,229.3,132.1,228.9,229.3,229.2,0.999,0.997,0.997,0.997,0.995,0.995,0.997,0.997,0.0
C29_S1_N2_F_MM_230_VSR2_12,C29_S1_N2_F,MM_230_VSR2,230,12.0,2.111,2.111,2.111,None,102.111,188.4,132.5,324.4,229.3,131.2,227.5,229.3,228.9,1.003,0.998,0.997,0.997,0.988,0.989,0.997,0.995,0.0
C29_S1_N2_F_MM_230_VSR2_13,C29_S1_N2_F,MM_230_VSR2,230,13.0,2.112,2.112,2.112,None,102.112,189.7,132.4,324.6,229.3,129.4,223.2,229.3,228.2,1.01,0.997,0.998,0.997,0.974,0.97,0.997,0.992,0.0
C29_S1_N2_F_MM_230_VSR2_14,C29_S1_N2_F,MM_230_VSR2,230,14.0,2.113,2.113,2.113,None,102.113,189.6,132.4,325.7,229.3,126.4,219.1,229.3,227.6,1.01,0.997,1.001,0.997,0.952,0.953,0.997,0.99,0.0
C29_S1_N2_F_MM_230_VSR2_15,C29_S1_N2_F,MM_230_VSR2,230,15.0,2.114,2.114,2.114,None,102.114,188.8,132.5,325.4,229.3,123.8,216.3,229.3,226.9,1.005,0.998,1.0,0.997,0.932,0.94,0.997,0.987,0.0
C29_S1_N2_F_MM_230_VSR2_16,C29_S1_N2_F,MM_230_VSR2,230,16.0,2.115,2.115,2.115,None,102.115,187.3,132.8,324.3,229.8,122.0,212.3,229.3,226.3,0.997,1.0,0.997,0.999,0.919,0.923,0.997,0.984,0.0
C29_S1_N2_F_MM_230_VSR2_17,C29_S1_N2_F,MM_230_VSR2,230,17.0,2.116,2.116,2.116,None,102.116,188.3,133.0,326.0,230.6,120.7,208.7,229.3,226.0,1.003,1.002,1.002,1.003,0.909,0.907,0.997,0.983,0.0
C29_S1_N2_F_MM_230_VSR2_18,C29_S1_N2_F,MM_230_VSR2,230,18.0,2.117,2.117,2.117,None,102.117,188.5,132.7,325.5,230.6,120.1,206.2,229.3,225.7,1.004,0.999,1.001,1.003,0.904,0.897,0.997,0.981,0.0
C29_S1_N2_F_MM_230_VSR2_19,C29_S1_N2_F,MM_230_VSR2,230,19.0,2.118,2.118,2.118,None,102.118,188.3,132.4,324.3,230.7,119.1,204.9,229.3,225.4,1.003,0.997,0.997,1.003,0.897,0.891,0.997,0.98,0.0
C29_S1_N2_F_MM_230_VSR2_20,C29_S1_N2_F,MM_230_VSR2,230,20.0,2.119,2.119,2.119,None,102.119,188.0,132.7,324.3,230.8,118.5,205.3,229.3,225.1,1.001,0.999,0.997,1.003,0.892,0.893,0.997,0.979,0.0
C29_S1_N2_F_MM_230_VSR3_1,C29_S1_N2_F,MM_230_VSR3,230,1.0,2.1,2.1,2.1,None,102.1,188.7,134.0,326.5,232.3,118.9,208.0,230.8,226.6,1.005,1.009,1.004,1.01,0.895,0.904,1.003,0.985,0.0
C29_S1_N2_F_MM_230_VSR3_2,C29_S1_N2_F,MM_230_VSR3,230,2.0,2.101,2.101,2.101,None,102.101,188.5,134.1,326.5,231.8,119.1,206.7,230.8,226.7,1.004,1.01,1.004,1.008,0.897,0.899,1.003,0.986,0.0
C29_S1_N2_F_MM_230_VSR3_3,C29_S1_N2_F,MM_230_VSR3,230,3.0,2.102,2.102,2.102,None,102.102,189.4,134.0,327.7,230.9,120.0,206.1,230.8,227.0,1.009,1.009,1.007,1.004,0.904,0.896,1.003,0.987,0.0
C29_S1_N2_F_MM_230_VSR3_4,C29_S1_N2_F,MM_230_VSR3,230,4.0,2.103,2.103,2.103,None,102.103,189.7,133.9,327.3,231.1,120.9,207.1,230.8,227.2,1.01,1.008,1.006,1.005,0.91,0.9,1.003,0.988,0.0
C29_S1_N2_F_MM_230_VSR3_5,C29_S1_N2_F,MM_230_VSR3,230,5.0,2.104,2.104,2.104,None,102.104,189.6,133.7,327.4,231.3,121.1,209.9,230.8,227.5,1.01,1.007,1.007,1.006,0.912,0.913,1.003,0.989,0.0
C29_S1_N2_F_MM_230_VSR3_6,C29_S1_N2_F,MM_230_VSR3,230,6.0,2.105,2.105,2.105,None,102.105,189.3,133.5,327.2,231.2,122.2,213.9,230.8,227.8,1.008,1.005,1.006,1.005,0.92,0.93,1.003,0.99,0.0
C29_S1_N2_F_MM_230_VSR3_7,C29_S1_N2_F,MM_230_VSR3,230,7.0,2.106,2.106,2.106,None,102.106,189.4,133.3,326.5,230.9,124.4,216.6,230.8,228.4,1.009,1.004,1.004,1.004,0.937,0.942,1.003,0.993,0.0
C29_S1_N2_F_MM_230_VSR3_8,C29_S1_N2_F,MM_230_VSR3,230,8.0,2.107,2.107,2.107,None,102.107,191.0,133.3,326.9,230.8,127.2,219.9,230.8,229.0,1.017,1.004,1.005,1.003,0.958,0.956,1.003,0.996,0.0
C29_S1_N2_F_MM_230_VSR3_9,C29_S1_N2_F,MM_230_VSR3,230,9.0,2.108,2.108,2.108,None,102.108,190.9,133.3,326.9,230.8,130.0,224.5,230.8,229.6,1.017,1.004,1.005,1.003,0.979,0.976,1.003,0.998,0.0
C29_S1_N2_F_MM_230_VSR3_10,C29_S1_N2_F,MM_230_VSR3,230,10.0,2.109,2.109,2.109,None,102.109,189.4,133.5,326.6,231.3,132.0,229.0,230.8,230.4,1.009,1.005,1.004,1.006,0.994,0.996,1.003,1.002,0.0
C29_S1_N2_F_MM_230_VSR3_11,C29_S1_N2_F,MM_230_VSR3,230,11.0,2.11,2.11,2.11,None,102.11,188.9,133.3,326.5,230.8,133.0,230.4,230.8,230.7,1.006,1.004,1.004,1.003,1.002,1.002,1.003,1.003,0.0
C29_S1_N2_F_MM_230_VSR3_12,C29_S1_N2_F,MM_230_VSR3,230,12.0,2.111,2.111,2.111,None,102.111,189.7,133.3,326.5,230.8,132.1,229.1,230.8,230.4,1.01,1.004,1.004,1.003,0.995,0.996,1.003,1.002,0.0
C29_S1_N2_F_MM_230_VSR3_13,C29_S1_N2_F,MM_230_VSR3,230,13.0,2.112,2.112,2.112,None,102.112,190.9,133.3,326.8,230.8,130.3,224.7,230.8,229.7,1.017,1.004,1.005,1.003,0.981,0.977,1.003,0.999,0.0
C29_S1_N2_F_MM_230_VSR3_14,C29_S1_N2_F,MM_230_VSR3,230,14.0,2.113,2.113,2.113,None,102.113,190.8,133.3,327.8,230.8,127.2,220.5,230.8,229.1,1.016,1.004,1.008,1.003,0.958,0.959,1.003,0.996,0.0
C29_S1_N2_F_MM_230_VSR3_15,C29_S1_N2_F,MM_230_VSR3,230,15.0,2.114,2.114,2.114,None,102.114,189.9,133.4,327.4,230.8,124.6,217.7,230.8,228.4,1.011,1.005,1.007,1.003,0.938,0.947,1.003,0.993,0.0
C29_S1_N2_F_MM_230_VSR3_16,C29_S1_N2_F,MM_230_VSR3,230,16.0,2.115,2.115,2.115,None,102.115,188.5,133.7,326.5,231.3,122.8,213.7,230.8,227.8,1.004,1.007,1.004,1.006,0.925,0.929,1.003,0.99,0.0
C29_S1_N2_F_MM_230_VSR3_17,C29_S1_N2_F,MM_230_VSR3,230,17.0,2.116,2.116,2.116,None,102.116,189.5,133.9,328.0,232.0,121.5,210.1,230.8,227.5,1.009,1.008,1.008,1.009,0.915,0.913,1.003,0.989,0.0
C29_S1_N2_F_MM_230_VSR3_18,C29_S1_N2_F,MM_230_VSR3,230,18.0,2.117,2.117,2.117,None,102.117,189.7,133.6,327.5,232.1,120.9,207.6,230.8,227.1,1.01,1.006,1.007,1.009,0.91,0.903,1.003,0.987,0.0
C29_S1_N2_F_MM_230_VSR3_19,C29_S1_N2_F,MM_230_VSR3,230,19.0,2.118,2.118,2.118,None,102.118,189.6,133.3,326.5,232.1,119.9,206.3,230.8,226.9,1.01,1.004,1.004,1.009,0.903,0.897,1.003,0.987,0.0
C29_S1_N2_F_MM_230_VSR3_20,C29_S1_N2_F,MM_230_VSR3,230,20.0,2.119,2.119,2.119,None,102.119,189.2,133.6,326.5,232.3,119.3,206.7,230.8,226.6,1.007,1.006,1.004,1.01,0.898,0.899,1.003,0.985,0.0
C29_S1_N2_F_MM_230_VSR4_1,C29_S1_N2_F,MM_230_VSR4,230,1.0,2.1,2.1,2.1,None,102.1,196.0,133.3,340.5,230.8,98.4,180.1,230.8,219.7,1.044,1.004,1.047,1.003,0.741,0.783,1.003,0.955,0.0
C29_S1_N2_F_MM_230_VSR4_2,C29_S1_N2_F,MM_230_VSR4,230,2.0,2.101,2.101,2.101,None,102.101,194.7,133.3,340.8,230.8,99.2,175.6,230.8,220.0,1.037,1.004,1.048,1.003,0.747,0.763,1.003,0.957,0.0
C29_S1_N2_F_MM_230_VSR4_3,C29_S1_N2_F,MM_230_VSR4,230,3.0,2.102,2.102,2.102,None,102.102,193.9,133.3,346.1,230.8,102.1,175.0,230.8,220.8,1.033,1.004,1.064,1.003,0.769,0.761,1.003,0.96,0.0
C29_S1_N2_F_MM_230_VSR4_4,C29_S1_N2_F,MM_230_VSR4,230,4.0,2.103,2.103,2.103,None,102.103,194.3,133.3,347.1,230.8,105.5,177.9,230.8,221.4,1.035,1.004,1.067,1.003,0.794,0.773,1.003,0.963,0.0
C29_S1_N2_F_MM_230_VSR4_5,C29_S1_N2_F,MM_230_VSR4,230,5.0,2.104,2.104,2.104,None,102.104,194.9,133.7,343.9,230.8,106.1,184.6,230.8,222.2,1.038,1.007,1.057,1.003,0.799,0.803,1.003,0.966,0.0
C29_S1_N2_F_MM_230_VSR4_6,C29_S1_N2_F,MM_230_VSR4,230,6.0,2.105,2.105,2.105,None,102.105,200.7,134.0,332.6,231.0,109.1,194.3,230.8,223.1,1.069,1.009,1.023,1.004,0.822,0.845,1.003,0.97,0.0
C29_S1_N2_F_MM_230_VSR4_7,C29_S1_N2_F,MM_230_VSR4,230,7.0,2.106,2.106,2.106,None,102.106,196.1,133.8,333.1,232.2,114.1,202.6,230.8,224.4,1.044,1.008,1.024,1.01,0.859,0.881,1.003,0.976,0.0
C29_S1_N2_F_MM_230_VSR4_8,C29_S1_N2_F,MM_230_VSR4,230,8.0,2.107,2.107,2.107,None,102.107,195.9,133.3,338.0,231.1,120.7,209.1,230.8,226.3,1.043,1.004,1.039,1.005,0.909,0.909,1.003,0.984,0.0
C29_S1_N2_F_MM_230_VSR4_9,C29_S1_N2_F,MM_230_VSR4,230,9.0,2.108,2.108,2.108,None,102.108,197.5,133.3,333.2,230.8,127.0,218.2,230.8,227.9,1.052,1.004,1.024,1.003,0.956,0.949,1.003,0.991,0.0
C29_S1_N2_F_MM_230_VSR4_10,C29_S1_N2_F,MM_230_VSR4,230,10.0,2.109,2.109,2.109,None,102.109,196.6,133.3,327.3,230.8,130.8,227.3,230.8,229.8,1.047,1.004,1.006,1.003,0.985,0.988,1.003,0.999,0.0
C29_S1_N2_F_MM_230_VSR4_11,C29_S1_N2_F,MM_230_VSR4,230,11.0,2.11,2.11,2.11,None,102.11,191.2,133.3,326.8,231.1,132.7,230.1,230.8,230.5,1.018,1.004,1.005,1.005,0.999,1.0,1.003,1.002,0.0
C29_S1_N2_F_MM_230_VSR4_12,C29_S1_N2_F,MM_230_VSR4,230,12.0,2.111,2.111,2.111,None,102.111,196.4,133.3,327.0,230.9,131.0,227.6,230.8,229.8,1.046,1.004,1.005,1.004,0.987,0.99,1.003,0.999,0.0
C29_S1_N2_F_MM_230_VSR4_13,C29_S1_N2_F,MM_230_VSR4,230,13.0,2.112,2.112,2.112,None,102.112,197.5,133.3,331.4,230.8,127.3,218.7,230.8,228.0,1.052,1.004,1.019,1.003,0.959,0.951,1.003,0.991,0.0
C29_S1_N2_F_MM_230_VSR4_14,C29_S1_N2_F,MM_230_VSR4,230,14.0,2.113,2.113,2.113,None,102.113,197.6,133.3,343.4,230.8,120.9,209.9,230.8,226.3,1.052,1.004,1.056,1.003,0.91,0.913,1.003,0.984,0.0
C29_S1_N2_F_MM_230_VSR4_15,C29_S1_N2_F,MM_230_VSR4,230,15.0,2.114,2.114,2.114,None,102.114,198.9,133.3,327.3,230.8,114.5,203.8,230.8,224.4,1.059,1.004,1.006,1.003,0.862,0.886,1.003,0.976,0.0
C29_S1_N2_F_MM_230_VSR4_16,C29_S1_N2_F,MM_230_VSR4,230,16.0,2.115,2.115,2.115,None,102.115,196.0,133.3,342.5,230.8,109.8,194.2,230.8,223.0,1.044,1.004,1.053,1.003,0.827,0.844,1.003,0.97,0.0
C29_S1_N2_F_MM_230_VSR4_17,C29_S1_N2_F,MM_230_VSR4,230,17.0,2.116,2.116,2.116,None,102.116,194.9,133.3,346.5,230.8,106.8,184.7,230.8,222.1,1.038,1.004,1.065,1.003,0.804,0.803,1.003,0.966,0.0
